Asset Name;Type;Criticality;Classification;Owner;Location
sl-01-ams.nl.seacomnet.com;Service Server;Medium;Internal;Network Operations;Amsterdam
ns-01-cpt.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Cape Town
ns-02-cpt.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Cape Town
ns-03-cpt.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Cape Town
sl-01-cpt.za.seacomnet.com;Service Server;Medium;Internal;Network Operations;Cape Town
ns-01-dar.tz.seacomnet.com;DNS Server;High;Internal;Network Operations;Dar es Salaam
ns-02-dar.tz.seacomnet.com;DNS Server;High;Internal;Network Operations;Dar es Salaam
ns-03-dar.tz.seacomnet.com;DNS Server;High;Internal;Network Operations;Dar es Salaam
ns-04-dar.tz.seacomnet.com;DNS Server;High;Internal;Network Operations;Dar es Salaam
sl-01-dar.tz.seacomnet.com;Service Server;Medium;Internal;Network Operations;Dar es Salaam
sl-01-ebb.ug.seacomnet.com;Service Server;Medium;Internal;Network Operations;Entebbe
sl-01-fra.de.seacomnet.com;Service Server;Medium;Internal;Network Operations;Frankfurt
as37100.net;AS37100 Services;Medium;Internal;Network Operations;Johannesburg
ns-01-jnb.za.seacomnet.com;DNS Master;High;Internal;Network Operations;Johannesburg
ns-02-jnb.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Johannesburg
ns-03-jnb.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Johannesburg
nms.seacomnet.com;Jump Box / NMS;High;Confidential;NOC / DevOps;Johannesburg
nms2.seacomnet.com;Jump Box / NMS;High;Confidential;NOC / DevOps;Johannesburg
latency.seacom.com;Latency Monitoring/Testing;Low;Internal;NOC / DevOps;Johannesburg
lg.seacomnet.com;Looking Glass;Low;Internal;NOC / DevOps;Johannesburg
racktables.seacom.mu;Rack Management;Low;Internal;NOC / DevOps;Johannesburg
sl-01-jnb.za.seacomnet.com;Service Server;Medium;Internal;Network Operations;Johannesburg
sl-01-kgl.rw.seacomnet.com;Service Layer;Medium;Internal;Network Operations;Kigali
ns-01-lhr.uk.seacomnet.com;DNS Server;High;Internal;Network Operations;London
ns-02-lhr.uk.seacomnet.com;DNS Server;High;Internal;Network Operations;London
ns-03-lhr.uk.seacomnet.com;DNS Server;High;Internal;Network Operations;London
sl-01-lhr.uk.seacomnet.com;Service Server;Medium;Internal;Network Operations;London
sl-02-lhr.uk.seacomnet.com;Service Server;Medium;Internal;Network Operations;London
ns-01-mpm.mz.seacomnet.com;DNS Server;High;Internal;Network Operations;Maputo
ns-02-mpm.mz.seacomnet.com;DNS Server;High;Internal;Network Operations;Maputo
ns-03-mpm.mz.seacomnet.com;DNS Server;High;Internal;Network Operations;Maputo
ns-04-mpm.mz.seacomnet.com;DNS Server;High;Internal;Network Operations;Maputo
sl-01-mpm.mz.seacomnet.com;Service Server;Medium;Internal;Network Operations;Maputo
ns-03-mrs.fr.seacomnet.com;DNS Master;High;Internal;Network Operations;Marseille
ns-02-mrs.fr.seacomnet.com;DNS Server;High;Internal;Network Operations;Marseille
ns-04-mrs.fr.seacomnet.com;DNS Server;High;Internal;Network Operations;Marseille
sl-01-mrs.fr.seacomnet.com;Service Server;Medium;Internal;Network Operations;Marseille
seacom.mu;Corporate Website;Medium;Public;IT / Marketing;Mombasa
ns-02-mba.ke.seacomnet.com;DNS Master;High;Internal;Network Operations;Mombasa
ns-01-mba.ke.seacomnet.com;DNS Server;High;Internal;Network Operations;Mombasa
records.seacom.com;Rack Management;Low;Internal;NOC / DevOps;Mombasa
sl-01-mba.ke.seacomnet.com;Service Server;Medium;Internal;Network Operations;Mombasa
ns-01-emg.za.seacomnet.com;DNS Server;High;Internal;Network Operations;Mtunzini
sl-01-emg.za.seacomnet.com;Service Server;Medium;Internal;Network Operations;Mtunzini
ns-01-nbo.ke.seacomnet.com;DNS Server;High;Internal;Network Operations;Nairobi
ns-02-nbo.ke.seacomnet.com;DNS Server;High;Internal;Network Operations;Nairobi
sl-01-nbo.ke.seacomnet.com;Service Server;Medium;Internal;Network Operations;Nairobi
sl-01-nbo.ke.seacomnet.com;Service Server;Medium;Internal;Network Operations;Nairobi
hv-01-cpt.za.seacomnet.com;Hypervisor (ESXi 5.5);High;Internal;Infrastructure / Virtualisation;Rondebosch , Cape Town
hv-01-ebb.ug.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Kampala, Uganda
hv-01-emg.za.seacomnet.com;Hypervisor (ESXi 6.0);High;Internal;Infrastructure / Virtualisation;Mtunzini
hv-01-jnb.za.seacomnet.com;Hypervisor (ESXi 5.5);High;Internal;Infrastructure / Virtualisation;Bryanston , Johannesburg , Gauteng , Sou
hv-01-lhr.uk.seacomnet.com;Hypervisor (ESXi 6.0);High;Internal;Infrastructure / Virtualisation;Slough, London
hv-01-mba.ke.seacomnet.com;Hypervisor (ESXi 6.5);High;Internal;Infrastructure / Virtualisation;Mombasa , Kenya
hv-01-mrs.fr.seacomnet.com;Hypervisor (ESXi 6.0);High;Internal;Infrastructure / Virtualisation;Marseille
hv-01-nbo.ke.seacomnet.com;Hypervisor (ESXi 5.5);High;Internal;Infrastructure / Virtualisation;Nairobi (ADC Sameer Park)
hv-02-cpt.za.seacomnet.com;Hypervisor (ESXi 5.5);High;Internal;Infrastructure / Virtualisation;Mowbray , Cape Town
hv-02-dar.tz.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Dar Es Salaam , Tanzania
hv-02-emg.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Mtunzini
hv-02-mba.ke.seacomnet.com;Hypervisor (ESXi 6.5);High;Internal;Infrastructure / Virtualisation;Mombasa , Kenya
hv-02-mpm.mz.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Maputo, Mozambique
hv-02-mrs.fr.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Marseille
hv-02-nbo.ke.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Nairobi (ADC Sameer Park)
hv-03-cpt.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Mowbray , Cape Town
hv-03-emg.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Mtunzini
hv-03-jnb.za.seacomnet.com;Hypervisor (ESXi 5.5);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-03-lhr.uk.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Telehouse North, London
hv-03-mba.ke.seacomnet.com;Hypervisor (ESXi 6.5);High;Internal;Infrastructure / Virtualisation;Mombasa , Kenya
hv-03-mpm.mz.seacomnet.com;Hypervisor (ESXi 8.0);High;Internal;Infrastructure / Virtualisation;Maputo, Mozambique
hv-03-nbo.ke.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Nairobi (ADC Sameer Park)
hv-04-cpt.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Mowbray , Cape Town
hv-04-jnb.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Bryanston , Johannesburg , Gauteng , Sou
hv-04-lhr.uk.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Telehouse North, London
hv-04-mba.ke.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Mombasa , Kenya
hv-04-nbo.ke.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Nairobi (ADC Sameer Park)
hv-05-jnb.za.seacomnet.com;Hypervisor (ESXi 6.0);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-05-mba.ke.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Mombasa , Kenya
hv-06-jnb.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-07-jnb.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-08-jnb.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-09-jnb.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Bryanston , Johannesburg , Gauteng , Sou
hv-10-jnb.za.seacomnet.com;Hypervisor (ESXi 6.7);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-11-jnb.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-12-jnb.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
hv-13-jnb.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Johannesburg,South Africa
hv-aaa-cpt.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Rondebosch , Cape Town
hv-aaa-emg.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Mtunzini
hv-aaa-jnb.za.seacomnet.com;Hypervisor (ESXi 7.0);High;Internal;Infrastructure / Virtualisation;Isando , Johannesburg , South Africa
swc-proxmox1;Hypervisor (Proxmox);High;Internal;Infrastructure / Virtualisation;Rondebosch , Cape Town
swc-proxmox2;Hypervisor (Proxmox);High;Internal;Infrastructure / Virtualisation;Rondebosch , Cape Town
swc-proxmox3;Hypervisor (Proxmox);High;Internal;Infrastructure / Virtualisation;Rondebosch , Cape Town
vcenter-01;Management Server (vCenter);High;Internal;Infrastructure / Virtualisation;Isando, Johannesburg, South Africa
seacom-soa-prod-app01;Cloud VM (Hyper-V);High;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-prod-app02;Cloud VM (Hyper-V);High;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-prod-ctl01;Cloud VM (Hyper-V);High;Internal;iPaaS / Integration;SEACOM Cloud
seacom-soa-prod-db01;Cloud VM (Hyper-V);High;Confidential;iPaaS / Integration;SEACOM Cloud
seacom-soa-prod-db02;Cloud VM (Hyper-V);High;Confidential;iPaaS / Integration;SEACOM Cloud
seacom-soa-qa01;Cloud VM (Hyper-V);Low;Internal;iPaaS / Integration;SEACOM Cloud
EPP-SCOM;Cloud VM (Hyper-V);Medium;Internal;SEACOM Cloud Ops;SEACOM Cloud
seanixapp-01.prod.jnb.za;Cloud VM (Hyper-V);High;Internal;Contact Centre;SEACOM Cloud
seanixsql-01.prod.jnb.za;Cloud VM (Hyper-V);High;Confidential;Contact Centre;SEACOM Cloud
seanixmed-01.prod.jnb.za;Cloud VM (Hyper-V);High;Internal;Contact Centre;SEACOM Cloud
Prod CogNitive NOC-App;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod U&A Management;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Auto TT -App;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod NAP -App;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Gen-AI;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Database VM;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Archival DB VM;Cloud VM (Hyper-V);High;Confidential;NOC Team;SEACOM Cloud
Prod Database VM1;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Database VM2;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod CogNitive NOC-App1;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod U&A Management1;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
Prod Auto TT -App1;Cloud VM (Hyper-V);High;Internal;NOC Team;SEACOM Cloud
